ID,Tratamiento,Especie,Hojas_seca_g,Tallo_seco_g,Raiz_seca_g,Masa_total_g,Cd_hoja_mg/g,Taninos_(mg/g),Lesion_foliar_ (%)
CKK,control,A. philoxeroides,1.075,1.022,0.9928,3.0898,1.379886454,3.806434171,16.50805982
CKK,control,A. philoxeroides,1.4686,1.6728,1.277,4.4184,1.383661123,3.554757176,10.65117405
CKK,control,A. philoxeroides,1.317,1.1382,1.0105,3.4657,1.361027999,2.823365693,9.503518264
CKK,control,A. philoxeroides,1.1034,1.0494,0.9412,3.094,0.320602119,4.712395578,10.30581382
CKK,control,A. philoxeroides,1.1034,1.0755,0.94545,3.12435,0.131886911,3.593486805,11.79506082
CKK,control,A. philoxeroides,1.4148,1.31328,1.2115,3.93958,1.975154146,4.077326642,8.273220793
CKK,control,A. philoxeroides,1.3068,1.3076,1.18395,3.79835,1.681144919,2.646807391,9.645975767
CKK,control,A. philoxeroides,1.296,1.3276,1.14135,3.76495,3.435718211,2.319873368,8.055213016
CKK,control,A. philoxeroides,1.2024,1.188,1.006,3.3964,2.768128865,3.487100683,16.5791178
CKK,control,A. philoxeroides,1.2384,1.2064,1.1652,3.61,1.157298186,3.96645792,10.71416026
CKK,control,A. philoxeroides,1.479,1.106,0.8528,3.4378,3.600130122,2.813886651,11.75123539
CKK,control,A. philoxeroides,1.0818,1.08815,0.9408,3.11075,0.416972934,4.131076254,11.41846845
CKK,control,A. philoxeroides,1.257,1.06365,0.9072,3.22785,2.207176609,3.719582946,10.37589879
CKK,control,A. philoxeroides,1.2291,1.076,1.017,3.3221,0.827352719,2.205950291,11.05546435
CKK,control,A. philoxeroides,1.0926,1.0734,1.0602,3.2262,1.167531846,4.328636904,9.603250331
CKL,control,A. sessilis,1.3086,1.5896,1.162,4.0602,2.148735023,4.549446436,9.026615559
CKL,control,A. sessilis,1.1452,1.0904,0.918,3.1536,1.061957362,3.617337381,12.72337384
CKL,control,A. sessilis,1.4807,1.3032,1.173,3.9569,0.190084714,4.407106459,12.17596676
CKL,control,A. sessilis,1.2264,1.104,0.886,3.2164,1.313033552,4.298731201,13.89777668
CKL,control,A. sessilis,1.14,1.0184,0.965,3.1234,0.951924735,2.45754319,13.67646037
CKL,control,A. sessilis,1.3706,1.284,1.3472,4.0018,1.531512323,4.882134737,10.43962038
CKL,control,A. sessilis,1.276,1.1074,1.3456,3.729,1.148590609,3.817854687,7.197628054
CKL,control,A. sessilis,0.928,0.834,0.686,2.448,1.651696254,3.20107654,9.643593857
CKL,control,A. sessilis,1.152,1.173,1.1088,3.4338,1.73883388,3.815527538,13.4357584
CKL,control,A. sessilis,0.972,0.978,0.83,2.78,1.700849068,3.132603406,12.2080062
CKL,control,A. sessilis,1.089,1.074,0.9204,3.0834,1.045009838,3.131866744,13.55201355
CKL,control,A. sessilis,1.3574,1.215,0.933,3.5054,0.140466625,3.348171334,13.47623926
CKL,control,A. sessilis,1.15,0.911,0.86,2.921,0.635635891,2.676953261,8.297574416
